iter	Passed	Remaining
617	2286	1413
618	2290	1409
619	2294	1406
620	2297	1402
621	2301	1398
622	2305	1395
623	2309	1391
624	2312	1387
625	2316	1384
626	2320	1380
627	2324	1377
628	2328	1373
629	2332	1369
630	2336	1366
631	2339	1362
632	2342	1358
633	2346	1354
634	2349	1350
635	2352	1346
636	2356	1342
637	2359	1338
638	2363	1335
639	2366	1331
640	2370	1327
641	2373	1323
642	2376	1319
643	2380	1315
644	2384	1312
645	2387	1308
646	2391	1304
647	2394	1300
648	2397	1296
649	2402	1293
650	2405	1289
651	2409	1285
652	2412	1282
653	2416	1278
654	2420	1274
655	2423	1271
656	2427	1267
657	2430	1263
658	2434	1259
659	2437	1255
660	2441	1251
661	2444	1247
662	2447	1244
663	2451	1240
664	2454	1236
665	2457	1232
666	2461	1228
667	2464	1225
668	2468	1221
669	2471	1217
670	2474	1213
671	2478	1209
672	2481	1205
673	2484	1201
674	2487	1197
675	2491	1194
676	2494	1190
677	2497	1186
678	2501	1182
679	2504	1178
680	2507	1174
681	2510	1170
682	2513	1166
683	2517	1162
684	2520	1159
685	2523	1155
686	2527	1151
687	2530	1147
688	2533	1143
689	2537	1139
690	2540	1136
691	2543	1132
692	2546	1128
693	2550	1124
694	2553	1120
695	2556	1116
696	2560	1112
697	2563	1109
698	2566	1105
699	2570	1101
700	2573	1097
701	2576	1093
702	2579	1089
703	2583	1086
704	2586	1082
705	2590	1078
706	2593	1074
707	2597	1071
708	2600	1067
709	2603	1063
710	2606	1059
711	2610	1055
712	2613	1051
713	2616	1048
714	2619	1044
715	2623	1040
716	2626	1036
717	2629	1032
718	2633	1029
719	2636	1025
720	2639	1021
721	2642	1017
722	2646	1013
723	2649	1010
724	2653	1006
725	2656	1002
726	2660	998
727	2663	995
728	2667	991
729	2670	987
730	2673	983
731	2677	980
732	2681	976
733	2684	972
734	2687	968
735	2690	965
736	2693	961
737	2697	957
738	2700	953
739	2703	949
740	2706	946
741	2709	942
742	2713	938
743	2716	934
744	2719	930
745	2723	927
746	2727	923
747	2730	919
748	2733	916
749	2737	912
750	2740	908
751	2743	904
752	2746	901
753	2750	897
754	2753	893
755	2756	889
756	2760	886
757	2763	882
758	2766	878
